n,date,stage,home,away,score_90,result,et,model_commit,commit_utc,p_h,p_d,p_a,pred_score,pick,pick_correct,exact_score,brier,logloss,p_result,frozen_brier,frozen_pick_correct,frozen_exact,brier_uniform,brier_baserate
1,2026-06-11,group,Mexico,South Africa,2-0,H,0,5739f8ef,2026-06-10 06:04,0.558,0.282,0.16,1-0,H,1,0,0.3005,0.5834,0.558,0.3005,1,0,0.6667,0.4967
2,2026-06-12,group,Canada,Bosnia & Herzegovina,1-1,D,0,5739f8ef,2026-06-10 06:04,0.42,0.316,0.264,1-1,H,0,1,0.714,1.152,0.316,0.714,0,1,0.6667,0.9186
3,2026-06-12,group,South Korea,Czechia,2-1,H,0,5739f8ef,2026-06-10 06:04,0.427,0.289,0.283,1-1,H,1,0,0.4919,0.851,0.427,0.4919,1,0,0.6667,0.4967
4,2026-06-13,group,USA,Paraguay,4-1,H,0,51344a4b,2026-06-12 09:31,0.385,0.321,0.294,1-1,H,1,0,0.5677,0.9545,0.385,0.4821,1,0,0.6667,0.4967
5,2026-06-13,group,Qatar,Switzerland,1-1,D,0,51344a4b,2026-06-12 09:31,0.082,0.187,0.73,0-2,A,0,0,1.2006,1.6766,0.187,1.0,0,0,0.6667,0.9186
6,2026-06-13,group,Brazil,Morocco,1-1,D,0,51344a4b,2026-06-12 09:31,0.274,0.375,0.351,0-0,D,1,0,0.5889,0.9808,0.375,0.6147,1,0,0.6667,0.9186
7,2026-06-14,group,Haiti,Scotland,0-1,A,0,f2893b7a,2026-06-13 10:20,0.115,0.193,0.693,0-2,A,1,0,0.1447,0.3667,0.693,0.2193,1,0,0.6667,0.653
8,2026-06-14,group,Australia,Türkiye,2-0,H,0,f2893b7a,2026-06-13 10:20,0.288,0.305,0.407,1-1,A,0,0,0.7656,1.2448,0.288,0.6702,0,0,0.6667,0.4967
9,2026-06-14,group,Germany,Curaçao,7-1,H,0,f2893b7a,2026-06-13 10:20,0.955,0.036,0.008,4-0,H,1,0,0.0034,0.046,0.955,0.0264,1,0,0.6667,0.4967
10,2026-06-14,group,Netherlands,Japan,2-2,D,0,f2893b7a,2026-06-13 10:20,0.358,0.319,0.322,1-1,H,0,0,0.6956,1.1426,0.319,0.6928,0,0,0.6667,0.9186
11,2026-06-14,group,Côte d'Ivoire,Ecuador,1-0,H,0,f2893b7a,2026-06-13 10:20,0.272,0.339,0.39,0-0,A,0,0,0.797,1.302,0.272,0.7674,0,0,0.6667,0.4967
12,2026-06-15,group,Sweden,Tunisia,5-1,H,0,1b007e23,2026-06-14 16:49,0.318,0.28,0.402,1-1,A,0,0,0.7051,1.1457,0.318,0.6953,0,0,0.6667,0.4967
13,2026-06-15,group,Spain,Cabo Verde,0-0,D,0,1b007e23,2026-06-14 16:49,0.975,0.021,0.005,5-0,H,0,0,1.9091,3.8632,0.021,1.7135,0,0,0.6667,0.9186
14,2026-06-15,group,Belgium,Egypt,1-1,D,0,1b007e23,2026-06-14 16:49,0.546,0.299,0.155,1-0,H,0,0,0.8135,1.2073,0.299,0.7504,0,0,0.6667,0.9186
15,2026-06-15,group,Saudi Arabia,Uruguay,1-1,D,0,1b007e23,2026-06-14 16:49,0.131,0.278,0.591,0-1,A,0,0,0.8877,1.2801,0.278,0.799,0,0,0.6667,0.9186
16,2026-06-16,group,Iran,New Zealand,2-2,D,0,5712857b,2026-06-15 13:25,0.949,0.041,0.01,4-0,H,0,0,1.8204,3.1942,0.041,1.2549,0,0,0.6667,0.9186
17,2026-06-16,group,France,Senegal,3-1,H,0,5712857b,2026-06-15 13:25,0.55,0.241,0.209,1-1,H,1,0,0.3043,0.5978,0.55,0.5064,1,0,0.6667,0.4967
18,2026-06-16,group,Iraq,Norway,1-4,A,0,5712857b,2026-06-15 13:25,0.055,0.15,0.795,0-2,A,1,0,0.0675,0.2294,0.795,0.2036,1,0,0.6667,0.653
